date,store_id,product_id,quantity,unit_price,customer_age
2025-06-05,S010,P001,9.1,40.74,17
2025-06-05,S006,P022,15.0,12.93,38
2025-05-16,S005,P022,11.0,78.83,51
2025-06-30,S010,P024,8.0,58.05,45
2025-07-15,S006,P039,7.0,45.3,23
2025-07-18,S005,P043,19.0,91.1,56
2025-05-26,S010,P035,11.0,15.56,68
2025-07-01,S008,P035,11.0,51.8,64
2025-06-14,S003,P018,6.0,6.08,18
2025-04-26,S009,P032,12.0,49.52,21
2025-07-07,S001,P018,3.0,10.35,56
2025-05-31,S010,P012,3.0,16.29,28
2025-07-01,S006,P045,12.0,16.16,37
2025-06-04,S005,P006,6.0,66.67,32
2025-06-09,S007,P021,2.0,75.87,39
2025-05-31,S004,P044,1.5,60.42,73
2025-05-08,S002,P019,12.0,96.41,69
2025-05-12,S009,P045,12.0,40.61,57
2025-06-30,S001,P022,17.0,32.14,13
2025-05-29,S004,P040,10.0,87.52,71
2025-06-04,S004,P049,16.0,26.24,65
2025-05-17,S007,P029,20.0,96.51,54
2025-05-23,S005,P044,15.0,6.15,12
2025-06-21,S008,P043,20.0,97.14,62
2025-05-31,S006,P015,18.0,9.1,64
2025-07-19,S006,P029,4.5,89.66,47
2025-04-30,S006,P029,5.0,55.13,62
2025-05-02,S004,P035,19.0,99.33,37
2025-05-21,S005,P022,7.0,12.01,40
2025-05-03,S005,P025,13.5,57.62,32
2025-06-25,S002,P032,7.0,97.08,22
2025-05-04,S003,P043,20.0,54.69,51
2025-05-14,S005,P009,4.0,64.79,22
2025-05-10,S010,P005,20.0,71.1,47
2025-04-26,S007,P032,20.0,48.18,60
2025-05-25,S002,P002,17.55,64.62,70
2025-07-17,S007,P021,2.0,60.51,50
2025-05-12,S008,P045,15.0,90.61,51
2025-05-04,S008,P038,10.5,9.32,46
2025-07-20,S007,P024,18.0,31.69,65
2025-06-12,S008,P024,8.0,95.29,45
2025-05-03,S001,P016,20.0,89.58,66
2025-06-05,S009,P009,3.0,48.29,58
2025-06-17,S008,P030,14.0,63.91,35
2025-05-07,S004,P040,17.0,31.35,65
2025-07-08,S005,P027,4.0,22.87,33
2025-05-21,S002,P005,20.0,49.05,16
2025-05-24,S004,P039,12.0,38.57,67
2025-06-30,S005,P032,4.0,60.45,44
2025-06-14,S008,P013,3.0,12.38,69
2025-07-21,S007,P001,7.800000000000001,97.57,47
2025-06-23,S005,P012,10.0,98.69,58
2025-05-02,S006,P004,5.2,71.33,31
2025-05-17,S010,P033,20.0,55.93,30
2025-05-21,S008,P020,12.0,34.41,46
2025-05-01,S010,P017,2.0,82.31,63
2025-06-20,S007,P012,10.0,70.05,54
2025-06-30,S003,P030,4.0,20.45,28
2025-07-09,S002,P001,18.2,91.54,73
2025-06-12,S009,P022,16.0,83.14,70
2025-06-03,S005,P012,15.0,95.23,56
2025-05-23,S002,P018,8.0,73.94,54
2025-06-13,S005,P029,14.0,63.27,45
2025-07-12,S007,P039,12.0,44.73,20
2025-06-21,S006,P033,20.0,93.61,37
2025-05-12,S004,P024,13.0,87.28,13
2025-07-04,S005,P025,18.0,9.3,64
2025-06-11,S010,P029,15.0,7.5,20
2025-06-27,S003,P048,13.0,40.76,20
2025-07-14,S009,P048,9.0,82.0,51
2025-07-09,S004,P005,19.5,98.79,28
2025-06-24,S010,P003,16.900000000000002,19.29,12
2025-06-12,S006,P021,1.0,61.44,36
2025-07-02,S007,P007,7.0,41.18,72
2025-05-19,S001,P042,9.0,97.14,54
2025-07-02,S010,P020,1.0,85.0,51
2025-07-06,S009,P013,18.0,84.64,53
2025-05-29,S009,P043,8.0,49.53,36
2025-05-18,S001,P042,16.5,44.41,50
2025-07-02,S010,P029,19.0,30.97,46
2025-07-10,S004,P014,17.0,10.36,14
2025-05-17,S007,P010,12.0,87.15,61
2025-05-05,S009,P042,3.0,82.23,48
2025-05-04,S001,P037,4.5,99.97,55
2025-06-24,S007,P049,1.0,99.68,55
2025-05-06,S007,P039,5.0,57.77,62
2025-05-31,S009,P044,15.0,78.05,41
2025-07-08,S001,P041,7.0,94.75,49
2025-04-24,S010,P016,9.0,85.72,45
2025-06-25,S003,P014,7.0,28.5,23
2025-06-06,S001,P027,9.0,47.8,30
2025-07-16,S004,P033,8.0,17.27,48
2025-04-25,S002,P031,12.0,95.63,55
2025-07-06,S004,P002,3.9000000000000004,62.59,70
2025-06-07,S006,P031,1.5,26.72,70
2025-06-09,S002,P013,16.0,68.81,60
2025-06-14,S010,P019,7.5,63.72,72
2025-05-26,S006,P047,3.0,39.03,28
2025-05-05,S005,P038,12.0,15.79,21
2025-05-27,S001,P018,8.0,68.8,68
2025-06-25,S010,P047,3.0,54.43,66
2025-05-23,S010,P036,1.0,78.37,60
2025-05-08,S001,P045,3.0,54.42,58
2025-05-18,S003,P003,9.75,85.96,23
2025-06-16,S004,P027,15.0,57.43,73
2025-04-27,S010,P007,20.0,58.29,27
2025-07-05,S005,P012,4.5,88.28,35
2025-06-20,S009,P045,1.0,43.33,30
2025-05-05,S004,P023,5.0,17.73,19
2025-07-12,S008,P028,20.0,7.73,42
2025-05-01,S008,P017,7.0,76.74,32
2025-05-21,S009,P011,9.0,63.93,28
2025-07-14,S007,P047,15.0,71.89,34
2025-06-09,S003,P049,15.0,25.23,48
2025-05-16,S002,P004,13.0,17.96,65
2025-05-13,S003,P040,13.0,6.38,27
2025-05-18,S002,P039,20.0,38.31,17
2025-05-07,S005,P041,7.0,61.04,19
2025-06-27,S008,P018,17.0,42.26,36
2025-06-05,S001,P047,4.0,46.56,29
2025-06-08,S010,P020,7.5,90.9,36
2025-04-26,S008,P024,10.5,38.08,23
2025-05-21,S003,P002,16.900000000000002,53.83,26
2025-05-04,S010,P024,20.0,79.45,70
2025-07-20,S004,P049,16.5,42.67,37
2025-05-07,S001,P025,4.0,64.1,52
2025-07-03,S008,P038,13.0,86.92,56
2025-05-20,S004,P018,7.0,95.2,37
2025-05-31,S008,P035,20.0,18.97,58
